Commodity,Sector,Industries
MEAT AND EDIBLE MEAT OFFAL.,agri,NAN
"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",agri,NAN
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",agri,NAN

"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",agri,NAN
"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",agri,NAN
LIVE ANIMALS.,agri,NAN

LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,agri,NAN
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,agri,NAN
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,agri,NAN
VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,agri,NAN
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",,
"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",agri,NAN

"COFFEE, TEA, MATE AND SPICES.",agri,NAN

"BEVERAGES, SPIRITS AND VINEGAR.",NAN,beverages

CEREALS.,agri,NAN
"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",agri,NAN
PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,agri,NAN

"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",agri,NAN
RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,,
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",agri,NAN
ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,agri,NAN

SUGARS AND SUGAR CONFECTIONERY.,agri,NAN

COCOA AND COCOA PREPARATIONS.,agri,NAN

TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,NAN,cigarettestobacco

"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",construction-materials,NAN

"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",oil-gas,NAN

"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",chemicals,NAN
ORGANIC CHEMICALS,chemicals,NAN

PHARMACEUTICAL PRODUCTS,healthcare,NAN

"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",chemicals,NAN

"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",chemicals,NAN

"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",chemicals,NAN

ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,chemicals,NAN

PLASTIC AND ARTICLES THEREOF.,plastic-products,NAN
RUBBER AND ARTICLES THEREOF.,,

"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",NAN,leather
RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,NAN,leather
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",agri,NAN

WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,NAN,wood-wood-products
PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,,
CORK AND ARTICLES OF CORK.,,

"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",NAN,paper-paper-products

"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",NAN,printing-publishing

SILK,textiles,NAN
"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",textiles,NAN
COTTON.,textiles,NAN
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,textiles,NAN

MAN-MADE FILAMENTS.,textiles,NAN
MAN-MADE STAPLE FIBRES.,textiles,NAN
"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",textiles,NAN

CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,textiles,NAN
SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,textiles,NAN
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",textiles,NAN
KNITTED OR CROCHETED FABRICS.,textiles,NAN
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",textiles,NAN
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",textiles,NAN
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,textiles,NAN

"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",footwear,NAN

HEADGEAR AND PARTS THEREOF.,,
"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",,

PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,,

"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",construction-materials,NAN

CERAMIC PRODUCTS.,construction-materials,NAN
GLASS AND GLASSWARE.,construction-materials,NAN

"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",,

IRON AND STEEL,metals-mining,NAN
ARTICLES OF IRON OR STEEL,metals-mining,NAN
COPPER AND ARTICLES THEREOF.,metals-mining,NAN
NICKEL AND ARTICLES THEREOF.,metals-mining,NAN
ALUMINIUM AND ARTICLES THEREOF.,metals-mining,NAN
LEAD AND ARTICLES THEREOF.,metals-mining,NAN
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,metals-mining,NAN
"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",metals-mining,NAN
"ORES, SLAG AND ASH.",metals-mining,NAN
ZINC AND ARTICLES THEREOF.,metals-mining,NAN
TIN AND ARTICLES THEREOF.,metals-mining,NAN

"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",,

"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",,

"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",NAN,railways-wagons

"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",,

"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",,

PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,,
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",,

CLOCKS AND WATCHES AND PARTS THEREOF.,,

MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,,

"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",,

"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",,

MISCELLANEOUS MANUFACTURED ARTICLES.,miscellaneous,NAN
PROJECT GOODS; SOME SPECIAL USES.,,
MISCELLANEOUS GOODS.,miscellaneous,NAN
MISCELLANEOUS EDIBLE PREPARATIONS.,agri,NAN
MISCELLANEOUS CHEMICAL PRODUCTS.,chemicals,NAN
MISCELLANEOUS ARTICLES OF BASE METAL.,metals-mining,NAN

WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,,

EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,,
ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,,

FERTILISERS.,NAN,pesticides-agrochemicals

"SHIPS, BOATS AND FLOATING STRUCTURES.",ship-building,
