,year,Commodity,value
0,2010-01-01,VEHICLES OTHER THAN ,341.72
1,2010-01-01,"NUCLEAR REACTORS, BO",103.23
2,2010-01-01,ARTICLES OF IRON OR ,65.22
3,2010-01-01,MEAT AND EDIBLE MEAT,63.55
4,2010-01-01,EDIBLE VEGETABLES AN,26.31
5,2010-01-01,PHARMACEUTICAL PRODU,25.93
6,2010-01-01,ELECTRICAL MACHINERY,19.02
7,2010-01-01,ALUMINIUM AND ARTICL,17.81
8,2010-01-01,PLASTIC AND ARTICLES,16.92
9,2010-01-01,ORGANIC CHEMICALS,11.73
10,2011-01-01,VEHICLES OTHER THAN ,332.96
11,2011-01-01,MEAT AND EDIBLE MEAT,119.22
12,2011-01-01,ARTICLES OF IRON OR ,59.53
13,2011-01-01,EDIBLE VEGETABLES AN,47.27
14,2011-01-01,ELECTRICAL MACHINERY,29.73
15,2011-01-01,PHARMACEUTICAL PRODU,29.54
16,2011-01-01,"NUCLEAR REACTORS, BO",28.49
17,2011-01-01,"COFFEE, TEA, MATE AN",22.04
18,2011-01-01,ORGANIC CHEMICALS,18.34
19,2011-01-01,PLASTIC AND ARTICLES,13.17
20,2012-01-01,VEHICLES OTHER THAN ,538.06
21,2012-01-01,MEAT AND EDIBLE MEAT,117.56
22,2012-01-01,PHARMACEUTICAL PRODU,51.63
23,2012-01-01,EDIBLE VEGETABLES AN,50.06
24,2012-01-01,ELECTRICAL MACHINERY,42.97
25,2012-01-01,"NUCLEAR REACTORS, BO",37.14
26,2012-01-01,ARTICLES OF IRON OR ,30.4
27,2012-01-01,ORGANIC CHEMICALS,25.13
28,2012-01-01,CEREALS.,25.05
29,2012-01-01,DAIRY PRODUCE; BIRDS,17.61
30,2013-01-01,VEHICLES OTHER THAN ,413.6
31,2013-01-01,MEAT AND EDIBLE MEAT,139.62
32,2013-01-01,"NUCLEAR REACTORS, BO",60.21
33,2013-01-01,EDIBLE VEGETABLES AN,55.78
34,2013-01-01,ARTICLES OF IRON OR ,42.46
35,2013-01-01,PHARMACEUTICAL PRODU,41.24
36,2013-01-01,ELECTRICAL MACHINERY,41.0
37,2013-01-01,DAIRY PRODUCE; BIRDS,33.84
38,2013-01-01,ORGANIC CHEMICALS,27.6
39,2013-01-01,PLASTIC AND ARTICLES,24.89
40,2014-01-01,VEHICLES OTHER THAN ,413.98
41,2014-01-01,MEAT AND EDIBLE MEAT,125.14
42,2014-01-01,"NUCLEAR REACTORS, BO",90.15
43,2014-01-01,PHARMACEUTICAL PRODU,50.13
44,2014-01-01,CEREALS.,35.87
45,2014-01-01,OIL SEEDS AND OLEA. ,32.28
46,2014-01-01,ARTICLES OF IRON OR ,30.84
47,2014-01-01,EDIBLE VEGETABLES AN,29.6
48,2014-01-01,ORGANIC CHEMICALS,26.77
49,2014-01-01,PLASTIC AND ARTICLES,20.86
50,2015-01-01,VEHICLES OTHER THAN ,175.43
51,2015-01-01,MEAT AND EDIBLE MEAT,114.84
52,2015-01-01,"NUCLEAR REACTORS, BO",73.34
53,2015-01-01,PHARMACEUTICAL PRODU,57.46
54,2015-01-01,ARTICLES OF IRON OR ,44.22
55,2015-01-01,PLASTIC AND ARTICLES,41.35
56,2015-01-01,ELECTRICAL MACHINERY,39.48
57,2015-01-01,EDIBLE VEGETABLES AN,35.57
58,2015-01-01,ORGANIC CHEMICALS,32.19
59,2015-01-01,CEREALS.,20.59
60,2016-01-01,VEHICLES OTHER THAN ,198.44
61,2016-01-01,MEAT AND EDIBLE MEAT,107.0
62,2016-01-01,ELECTRICAL MACHINERY,95.96
63,2016-01-01,PHARMACEUTICAL PRODU,61.92
64,2016-01-01,"NUCLEAR REACTORS, BO",61.08
65,2016-01-01,PLASTIC AND ARTICLES,41.36
66,2016-01-01,ORGANIC CHEMICALS,34.97
67,2016-01-01,CEREALS.,23.01
68,2016-01-01,"ARTICLES OF STONE, P",22.74
69,2016-01-01,OIL SEEDS AND OLEA. ,21.38
70,2017-01-01,VEHICLES OTHER THAN ,316.83
71,2017-01-01,PHARMACEUTICAL PRODU,69.72
72,2017-01-01,"NUCLEAR REACTORS, BO",64.0
73,2017-01-01,MEAT AND EDIBLE MEAT,55.95
74,2017-01-01,ORGANIC CHEMICALS,48.27
75,2017-01-01,EDIBLE VEGETABLES AN,35.6
76,2017-01-01,PLASTIC AND ARTICLES,34.11
77,2017-01-01,ELECTRICAL MACHINERY,30.62
78,2017-01-01,CEREALS.,18.73
79,2017-01-01,"ARTICLES OF STONE, P",13.29
80,2018-01-01,VEHICLES OTHER THAN ,341.11
81,2018-01-01,"NUCLEAR REACTORS, BO",74.58
82,2018-01-01,PHARMACEUTICAL PRODU,72.45
83,2018-01-01,ORGANIC CHEMICALS,56.51
84,2018-01-01,PLASTIC AND ARTICLES,52.58
85,2018-01-01,MEAT AND EDIBLE MEAT,50.75
86,2018-01-01,EDIBLE VEGETABLES AN,44.02
87,2018-01-01,CEREALS.,32.41
88,2018-01-01,ELECTRICAL MACHINERY,28.41
89,2018-01-01,OIL SEEDS AND OLEA. ,20.2
90,2019-01-01,VEHICLES OTHER THAN ,94.56
91,2019-01-01,MEAT AND EDIBLE MEAT,70.81
92,2019-01-01,PHARMACEUTICAL PRODU,69.38
93,2019-01-01,"NUCLEAR REACTORS, BO",60.09
94,2019-01-01,ORGANIC CHEMICALS,36.3
95,2019-01-01,CEREALS.,31.78
96,2019-01-01,EDIBLE VEGETABLES AN,23.86
97,2019-01-01,PLASTIC AND ARTICLES,20.85
98,2019-01-01,ELECTRICAL MACHINERY,17.49
99,2019-01-01,ARTICLES OF IRON OR ,16.18
100,2020-01-01,"NUCLEAR REACTORS, BO",118.29
101,2020-01-01,PHARMACEUTICAL PRODU,63.92
102,2020-01-01,CEREALS.,60.7
103,2020-01-01,ORGANIC CHEMICALS,33.57
104,2020-01-01,MEAT AND EDIBLE MEAT,32.45
105,2020-01-01,ELECTRICAL MACHINERY,29.97
106,2020-01-01,PLASTIC AND ARTICLES,27.12
107,2020-01-01,ARTICLES OF IRON OR ,24.57
108,2020-01-01,EDIBLE VEGETABLES AN,21.83
109,2020-01-01,SALT; SULPHUR; EARTH,19.16
110,2021-01-01,"NUCLEAR REACTORS, BO",142.44
111,2021-01-01,PLASTIC AND ARTICLES,75.51
112,2021-01-01,PHARMACEUTICAL PRODU,73.75
113,2021-01-01,ORGANIC CHEMICALS,61.02
114,2021-01-01,CEREALS.,49.53
115,2021-01-01,"OPTICAL, PHOTOGRAPHI",27.56
116,2021-01-01,IRON AND STEEL,24.32
117,2021-01-01,VEHICLES OTHER THAN ,22.03
118,2021-01-01,ELECTRICAL MACHINERY,20.71
119,2021-01-01,"COFFEE, TEA, MATE AN",18.62
